Rank,Company,Sector,Industry,Profitable,Founder_is_CEO,FemaleCEO,Growth_in_Jobs,Change_in_Rank,Gained_in_Rank,Dropped_in_Rank,Newcomer_to_the_Fortune500,Number_of_employees,MarketCap_Updated_M,Revenues_M,RevenuePercentChange,Profits_M,Assets_M,CEO,HeadquartersCity,HeadquartersState,Website,CompanyType
1,Walmart,Retailing,General Merchandisers,yes,no,no,no,0,no,no,no,2100000.0,559911.0,648125.0,6.0,15511.0,252399.0,C. Douglas McMillon,Bentonville,Arkansas,https://www.stock.walmart.com,Public
2,Amazon,Retailing,Internet Services and Retailing,yes,no,no,no,0,no,no,no,1525000.0,2005565.0,574785.0,11.8,30425.0,527854.0,Andrew R. Jassy,Seattle,Washington,https://www.amazon.com,Public
3,Apple,Technology,"Computers, Office Equipment",yes,no,no,no,1,yes,no,no,161000.0,3594309.0,383285.0,-2.8,96995.0,352583.0,Timothy D. Cook,Cupertino,California,https://www.apple.com,Public
4,UnitedHealth Group,Health Care,Health Care: Insurance and Managed Care,yes,no,no,yes,1,yes,no,no,440000.0,474339.0,371622.0,14.6,22381.0,273720.0,Andrew P. Witty,Minnetonka,Minnesota,https://www.unitedhealthgroup.com,Public
5,Berkshire Hathaway,Financials,Insurance: Property and Casualty (Stock),yes,no,no,yes,2,yes,no,no,396500.0,937028.0,364482.0,20.7,96223.0,1069978.0,Warren E. Buffett,Omaha,Nebraska,https://www.berkshirehathaway.com,Public
6,CVS Health,Health Care,Health Care: Pharmacy and Other Services,yes,no,yes,no,0,no,no,no,259500.0,73653.0,357776.0,10.9,8344.0,249728.0,Karen S. Lynch,Woonsocket,Rhode Island,https://www.cvshealth.com,Public
7,Exxon Mobil,Energy,Petroleum Refining,yes,no,no,no,-4,no,yes,no,61500.0,516824.0,344582.0,-16.7,36010.0,376317.0,Darren W. Woods,Spring,Texas,https://www.exxonmobil.com,Public
8,Alphabet,Technology,Internet Services and Retailing,yes,no,no,no,0,no,no,no,182502.0,2315182.0,307394.0,8.7,73795.0,402392.0,Sundar Pichai,Mountain View,California,https://www.abc.xyz,Public
9,McKesson,Health Care,Wholesalers: Health Care,yes,no,no,no,0,no,no,no,48000.0,75007.0,276711.0,4.8,3560.0,62320.0,Brian S. Tyler,Irving,Texas,https://www.mckesson.com,Public
10,Cencora,Health Care,Wholesalers: Health Care,yes,no,no,yes,1,yes,no,no,44000.0,43758.0,262173.4,9.9,1745.3,62558.7,Steven H. Collis,Conshohocken,Pennsylvania,https://www.cencora.com,Public
11,Costco Wholesale,Retailing,General Merchandisers,yes,no,no,yes,1,yes,no,no,316000.0,376272.0,242290.0,6.8,6292.0,68994.0,Ron M. Vachris,Issaquah,Washington,https://www.costco.com,Public
12,JPMorgan Chase,Financials,Commercial Banks,yes,no,no,yes,11,yes,no,no,309926.0,603194.0,239425.0,54.7,49552.0,3875393.0,James Dimon,New York,New York,https://www.jpmorganchase.com,Public
13,Microsoft,Technology,Computer Software,yes,no,no,no,0,no,no,no,221000.0,3373970.0,211915.0,6.9,72361.0,411976.0,Satya Nadella,Redmond,Washington,https://www.microsoft.com,Public
14,Cardinal Health,Health Care,Wholesalers: Health Care,yes,no,no,yes,0,no,no,no,47520.0,22832.0,205012.0,13.0,261.0,43417.0,Jason M. Hollar,Dublin,Ohio,https://www.cardinalhealth.com,Public
15,Chevron,Energy,Petroleum Refining,yes,no,no,yes,-5,no,yes,no,45600.0,291950.0,200949.0,-18.4,21369.0,261632.0,Michael K. Wirth,San Ramon,California,https://www.chevron.com,Public
16,Cigna,Health Care,Health Care: Pharmacy and Other Services,yes,no,no,yes,-1,no,yes,no,71413.0,94148.0,195265.0,8.2,5164.0,152761.0,David M. Cordani,Bloomfield,Connecticut,https://www.thecignagroup.com,Public
17,Ford Motor,Motor Vehicles & Parts,Motor Vehicles & Parts,yes,no,no,yes,2,yes,no,no,177000.0,56811.0,176191.0,11.5,4347.0,273310.0,James D. Farley Jr.,Dearborn,Michigan,https://www.ford.com,Public
18,Bank of America,Financials,Commercial Banks,yes,no,no,no,14,yes,no,no,212985.0,327595.0,171912.0,49.4,26515.0,3180151.0,Brian T. Moynihan,Charlotte,North Carolina,https://www.bankofamerica.com,Public
19,General Motors,Motor Vehicles & Parts,Motor Vehicles & Parts,yes,no,yes,no,2,yes,no,no,163000.0,56222.0,171842.0,9.6,10127.0,273064.0,Mary T. Barra,Detroit,Michigan,https://www.gm.com,Public
20,Elevance Health,Health Care,Health Care: Insurance and Managed Care,yes,no,yes,yes,2,yes,no,no,104900.0,123335.0,171340.0,9.4,5987.0,108928.0,Gail K. Boudreaux,Indianapolis,Indiana,https://www.elevancehealth.com,Public
21,Citigroup,Financials,Commercial Banks,yes,no,yes,no,15,yes,no,no,237925.0,124251.0,156820.0,55.1,9228.0,2411834.0,Jane Fraser,New York,New York,https://www.citigroup.com,Public
22,Centene,Health Care,Health Care: Insurance and Managed Care,yes,no,yes,no,3,yes,no,no,67700.0,35221.0,153999.0,6.5,2702.0,84641.0,Sarah M. London,St. Louis,Missouri,https://www.centene.com,Public
23,Home Depot,Retailing,Specialty Retailers: Other,yes,no,no,no,-3,no,yes,no,463100.0,355454.0,152669.0,-3.0,15143.0,76530.0,Edward P. Decker,Atlanta,Georgia,https://www.homedepot.com,Public
24,Marathon Petroleum,Energy,Petroleum Refining,yes,no,no,yes,-8,no,yes,no,18200.0,58737.0,150307.0,-16.5,9681.0,85987.0,Maryann T. Mannen,Findlay,Ohio,https://www.marathonpetroleum.com,Public
